name,image,recipe
"Sayur Bobor Daun Adas, khas Salatiga (Masakan dari sayuran sehat anti kangker dll)",https://img-global.cpcdn.com/recipes/4f04245537b7d755/130x160cq50/sayur-bobor-daun-adas-khas-salatiga-masakan-dari-sayuran-sehat-anti-kangker-dll-foto-resep-utama.jpg,"['daun adas (2 ons)', 'tempe semangit (sudah 3 harian)', 'santan', 'ikan asap (bisa diskip)', 'bawang merah', 'bawang putih', 'kemiri, sangrai', 'ketumbar, sangrai', 'cabe merah (disesuaikan selera)', 'Garam, gula pasir, daun salam, lengkuas, daun jeruk (takaran sesuaikan)']"
Diet tapi makan enak coba ini aja telur sehat ekstra sayur,https://img-global.cpcdn.com/recipes/b2dcead3f0a81f22/130x160cq50/diet-tapi-makan-enak-coba-ini-aja-telur-sehat-ekstra-sayur-foto-resep-utama.jpg,"['timun', 'selada', 'telur', 'saos', 'mayonaise', 'garam', 'lada', 'kulit lumpia', 'tomat']"
Makanan enak & sehat : Ayam rebus minyak wijen,https://img-global.cpcdn.com/recipes/7bac6c667c253ee4/130x160cq50/makanan-enak-sehat-ayam-rebus-minyak-wijen-foto-resep-utama.jpg,"['ayam kampung', 'garam', 'jahe', 'bawang putih', 'daun bawang', 'minyak wijen']"
Sarden rumahan fresh dan sehat,https://img-global.cpcdn.com/recipes/13ee2b2c0580b44c/130x160cq50/sarden-rumahan-fresh-dan-sehat-foto-resep-utama.jpg,"['ikan sarden', 'baput', 'bamer', 'bombay', 'cabe merah', 'tomat', 'daun salam', 'saos tomat', 'saos sambal', 'saos tiram', 'Gula', 'Garam']"
Cuanki Sehat Ala Rumahan,https://img-global.cpcdn.com/recipes/1e2a398f2e067f02/130x160cq50/cuanki-sehat-ala-rumahan-foto-resep-utama.jpg,"['Dada Ayam boleh Fillet sesuai selera', 'Ceker Ayam, bersihkan, sisihkan', 'bakso Sapi beli jadi di supermarket 🤭', 'Wortel, cuci, kupas potong², sesuai selera', 'Tahu ukuran besar potong 4, sisihkan', 'Soun di rendam air biasa, bilas, sisihkan', 'Bumbu yang dihaluskan dan di tumis', 'Bawang Bombay iris tipis²', 'bawang putih haluskan', 'Merica bulat/bubuk', 'Bahan pelengkap', 'Daun Bawang iris²']"
"Nasi Tim Daging sapi
#mpasi #diet #masakan sehat #bekalanak",https://img-global.cpcdn.com/recipes/0328cdf21456312f/130x160cq50/nasi-tim-daging-sapi-mpasi-diet-masakan-sehat-bekalanak-foto-resep-utama.jpg,"['daging sapi giling', 'jamur champignon/kancing (atau wortel parut jika tidak ada jamur atau jamur kuping)', 'bawang bombai cincang /iris kecil-kecil', 'Daun bawang iris sedang', 'bawang putih cincang', 'daun salam', 'jahe geprek', 'Minyak wijen', 'Kecap asin', 'Kecap manis', 'Saus tiram', 'Lada bubuk']"
Lontong sayur ala rumahan sehat tanpa santan,https://img-global.cpcdn.com/recipes/3474be091744c3ab/130x160cq50/lontong-sayur-ala-rumahan-sehat-tanpa-santan-foto-resep-utama.jpg,"['labu siam iris panjang tipis', 'Tempe iris persegi panjang', 'sereh', 'Laos', 'salam', 'daun jeruk', 'fibercreme', 'Bumbu halus', 'bawang merah', 'bawang putih', 'Kemiri', 'jahe']"
102. Kaldu Bubuk Kulit Udang |KBKU|✅️Cara sehat bikin kaldu rumahan,https://img-global.cpcdn.com/recipes/721cf7f9fe48dd60/130x160cq50/102-kaldu-bubuk-kulit-udang-kbkucara-sehat-bikin-kaldu-rumahan-foto-resep-utama.jpg,"['kepala dan kulit udang (netto)-sy timbang setelah dicuci bersih-', 'bawang putih, geprek', 'garam']"
Healthy Diet Food: Steak Tenderloin with Egg and Vegetables,https://img-global.cpcdn.com/recipes/268075c62f797066/130x160cq50/healthy-diet-food-steak-tenderloin-with-egg-and-vegetables-foto-resep-utama.jpg,"['daging tenderloin yang sudah dibumbui (beli yang ada di supermarket)', 'brokoli', 'bok choy', 'wortel', 'telur', 'bawang bombay']"
"Healthy Diet Food: Beef Slice, Boiled Egg, Jagung, Tomat dan Labu Siam",https://img-global.cpcdn.com/recipes/c7e44b456a3ba309/130x160cq50/healthy-diet-food-beef-slice-boiled-egg-jagung-tomat-dan-labu-siam-foto-resep-utama.jpg,"['telur ayam (rebus)', 'beef slice', 'jagung (pipil)', 'labu siam', 'tomat kecil', 'Bawang bombay', 'cabe rawit', 'daun bawang', 'Totole', 'Lada', 'Wijen untuk taburan']"
